Shoplifting,1
is,7
a,8
victimless,1
crime,1
like,3
punching,1
someone,1
in,3
the,5
dark,1
You're,1
turning,1
me,1
into,1
criminal,1
when,1
all,1
I,6
want,2
to,5
be,2
petty,1
thug,1
All,2
I'm,2
gonna,1
use,2
this,4
bed,1
for,1
sleeping,2
eating,1
and,2
maybe,1
building,1
little,1
fort,1
Back,1
Edinburg,1
we,2
had,1
coal,1
miners,1
strike,1
wanted,1
were,1
hats,1
with,1
wee,1
light,1
on,1
top,1
Then,1
one,2
day,1
mine,1
collapsed,1
No,1
made,1
it,2
out,1
alive,1
not,2
even,2
Willie,1
And,1
snack,1
holder,1
where,1
can,1
put,1
my,2
beverage,1
or,1
if,1
you,1
will,1
cupcake,1
don't,3
sound,1
killjoy,1
but,1
becuase,1
taste,1
think,2
anyone,1
else,1
should,1
allowed,1
enjoy,1
Oh,1
wow,1
windows,1
could,2
afford,1
place,1
bath,1
tub,1
Ahh,1
Sweet,1
liquor,1
eases,1
pain,1
Gah,1
stupid,1
sexy,1
Flanders,1
Facts,1
are,1
meaningless,1
You,1
facts,1
prove,1
anything,1
that's,1
remotely,1
true,1
Marriage,1
coffin,1
each,1
kid,1
another,1
nail,1
